BER_power,Iteration,Accuracy,Tacc,Precision,Recall,Confidence,Sub-Confidence,Acc_50
-6,0,0.7551,0.947,0.7563409380426649,0.7551000000000001,0.8667466044425964,0.7833729386329651,0.7389000058174133
-6,1,0.7551,0.947,0.7563409380426649,0.7551000000000001,0.8667466044425964,0.7833729386329651,0.7389000058174133
-6,2,0.7551,0.947,0.7563409380426649,0.7551000000000001,0.8667466044425964,0.7833729386329651,0.7389000058174133
-6,3,0.7427,0.9421,0.7542639105498481,0.7427000000000001,0.8559722304344177,0.7683960199356079,0.7228999733924866
-6,4,0.7551,0.947,0.7563409380426649,0.7551000000000001,0.8667466044425964,0.7833729386329651,0.7389000058174133
-6,5,0.7551,0.947,0.7563409380426649,0.7551000000000001,0.8667466044425964,0.7833729386329651,0.7389000058174133
-6,6,0.7551,0.947,0.7563409380426649,0.7551000000000001,0.8667466044425964,0.7833729386329651,0.7389000058174133
-6,7,0.7551,0.947,0.7563409380426649,0.7551000000000001,0.8667466044425964,0.7833729386329651,0.7389000058174133
-6,8,0.7551,0.947,0.7563409380426649,0.7551000000000001,0.8667466044425964,0.7833729386329651,0.7389000058174133
-6,9,0.7551,0.947,0.7563409380426649,0.7551000000000001,0.8667466044425964,0.7833729386329651,0.7389000058174133
-5,0,0.6667,0.9084,0.7283209329099214,0.6667000000000001,0.8267314434051514,0.7247164845466614,0.6403999924659729
-5,1,0.6956,0.9223,0.7138686779930175,0.6956,0.8320471048355103,0.7360088229179382,0.6669999957084656
-5,2,0.688,0.915,0.725906446923512,0.688,0.8329957127571106,0.7362895607948303,0.6622999906539917
-5,3,0.4733,0.7648,0.722912057234501,0.4733,0.7824142575263977,0.6586017608642578,0.44269999861717224
-5,4,0.6418,0.8908,0.7158254609165732,0.6417999999999999,0.8103358745574951,0.705019474029541,0.6103999614715576
-5,5,0.6851,0.9138,0.7174796119271616,0.6850999999999999,0.8420637249946594,0.7473556995391846,0.6633999943733215
-5,6,0.7238,0.9355,0.7431019194805272,0.7238,0.8568658232688904,0.768747091293335,0.7017999887466431
-5,7,0.6793,0.9142,0.7131094214158981,0.6793000000000001,0.8365477323532104,0.7397268414497375,0.6554999947547913
-5,8,0.7257,0.9343,0.7420046721877183,0.7256999999999999,0.8608765006065369,0.7742254137992859,0.7044000029563904
-5,9,0.7154,0.9264,0.7326812446706911,0.7153999999999999,0.8424161672592163,0.7495979070663452,0.6909999847412109
-4,0,0.0751,0.2321,0.2070556072781978,0.0751,0.6781994104385376,0.5254622101783752,0.06469999998807907
-4,1,0.1581,0.3807,0.3066625202713273,0.1581,0.6038982272148132,0.4409024119377136,0.12189999967813492
-4,2,0.0662,0.2131,0.3346312490547551,0.0662,0.7733905911445618,0.6416836380958557,0.05829999968409538
-4,3,0.1359,0.3522,0.4355784312460792,0.1359,0.7315057516098022,0.5897411704063416,0.120899997651577
-4,4,0.0571,0.2018,0.24780775755180912,0.05710000000000001,0.7394315004348755,0.5976763963699341,0.05040000006556511
-4,5,0.1018,0.3658,0.42328684657908683,0.10180000000000002,0.7593756318092346,0.654865026473999,0.08129999786615372
-4,6,0.1205,0.311,0.27748889089426615,0.12050000000000001,0.6523825526237488,0.4885283410549164,0.1005999967455864
-4,7,0.0423,0.1303,0.07863270036733899,0.042300000000000004,0.5909722447395325,0.42067286372184753,0.030700000002980232
-4,8,0.1461,0.3756,0.39573255189357737,0.1461,0.6948987245559692,0.551017165184021,0.12600000202655792
-4,9,0.0679,0.207,0.19011279652085,0.06790000000000002,0.7180774807929993,0.5697675347328186,0.05729999765753746
