BER_power,Iteration,Accuracy,Tacc,Precision,Recall,Confidence,Sub-Confidence,Acc_50
5x10^-5,0,0.6997,0.9219,0.7298973855742259,0.6997,0.8172503709793091,0.7165878415107727,0.6669999957084656
5x10^-5,1,0.7025,0.9235,0.7444181664742173,0.7025000000000001,0.8212893605232239,0.720649003982544,0.6718999743461609
5x10^-5,2,0.5625,0.825,0.6555372592385383,0.5625,0.7205950021743774,0.5953419804573059,0.5116999745368958
5x10^-5,3,0.7096,0.9259,0.7332772583075382,0.7096000000000001,0.8339348435401917,0.7398779392242432,0.6811999678611755
5x10^-5,4,0.7166,0.9324,0.7337230146831515,0.7166,0.8301587700843811,0.7346798181533813,0.6866999864578247
5x10^-5,5,0.6822,0.9056,0.7178613274978866,0.6822,0.8050718307495117,0.7018121480941772,0.6459000110626221
5x10^-5,6,0.6727,0.9008,0.7220220513882777,0.6727000000000001,0.8090590238571167,0.7066105008125305,0.6399999856948853
5x10^-5,7,0.7071,0.9209,0.732229842115608,0.7071000000000001,0.8184186220169067,0.718532145023346,0.6722999811172485
5x10^-5,8,0.7274,0.9361,0.7426093355561089,0.7274000000000002,0.8228961229324341,0.7248661518096924,0.6922000050544739
5x10^-5,9,0.7241,0.9323,0.7410748001440035,0.7241,0.8355588912963867,0.7428823113441467,0.6953999996185303
1x10^-5,0,0.7466,0.9436,0.7535031714370902,0.7465999999999999,0.8439854383468628,0.7536267638206482,0.7181999683380127
1x10^-5,1,0.7418,0.9415,0.7452146242438533,0.7418000000000001,0.8392085433006287,0.747277021408081,0.7123000025749207
1x10^-5,2,0.7442,0.9445,0.7473678284520139,0.7441999999999999,0.844745934009552,0.7543116211891174,0.7188999652862549
1x10^-5,3,0.7319,0.9366,0.7451496145313312,0.7319,0.8428671956062317,0.7510073184967041,0.7056999802589417
1x10^-5,4,0.7309,0.9379,0.73889769514014,0.7309,0.8384560346603394,0.7464838624000549,0.703000009059906
1x10^-5,5,0.7508,0.9448,0.7528669142754316,0.7508000000000001,0.846737802028656,0.7574325203895569,0.7246999740600586
1x10^-5,6,0.7508,0.9448,0.7528669142754316,0.7508000000000001,0.846737802028656,0.7574325203895569,0.7246999740600586
1x10^-5,7,0.7508,0.9448,0.7528669142754316,0.7508000000000001,0.846737802028656,0.7574325203895569,0.7246999740600586
1x10^-5,8,0.7483,0.9452,0.7522205871605232,0.7483000000000002,0.8442274332046509,0.7539751529693604,0.7203999757766724
1x10^-5,9,0.7508,0.9448,0.7528669142754316,0.7508000000000001,0.846737802028656,0.7574325203895569,0.7246999740600586
5x10^-4,0,0.0319,0.1493,0.12976338007531063,0.0319,0.8526625037193298,0.7524591684341431,0.02879999950528145
5x10^-4,1,0.1314,0.368,0.45624795410574165,0.13140000000000002,0.6572962403297424,0.5066573619842529,0.1022999957203865
5x10^-4,2,0.0665,0.1973,0.16776458903100722,0.0665,0.6110562682151794,0.44793665409088135,0.0510999970138073
5x10^-4,3,0.1203,0.3081,0.300152839563533,0.12030000000000002,0.6285778284072876,0.4592744708061218,0.09719999879598618
5x10^-4,4,0.2535,0.54,0.551337204900757,0.2535,0.6567399501800537,0.5013204216957092,0.21849998831748962
5x10^-4,5,0.1745,0.4246,0.45415283758947866,0.1745,0.6808997988700867,0.530876100063324,0.1525999903678894
5x10^-4,6,0.0967,0.296,0.3283944470795647,0.09670000000000002,0.7174908518791199,0.5796759128570557,0.08229999989271164
5x10^-4,7,0.119,0.2866,0.28156463286985,0.11900000000000001,0.5299224853515625,0.3665265440940857,0.08540000021457672
5x10^-4,8,0.1524,0.3435,0.42339190770520846,0.1524,0.6251115202903748,0.4644322991371155,0.12849999964237213
5x10^-4,9,0.1552,0.3893,0.40482064392824074,0.1552,0.6686699986457825,0.5228036642074585,0.13199999928474426
1x10^-4,0,0.693,0.9198,0.7217214032130319,0.693,0.8125693202018738,0.7106424570083618,0.6581000089645386
1x10^-4,1,0.5494,0.8218,0.6750656901750167,0.5494000000000001,0.7515472173690796,0.6293769478797913,0.5072000026702881
1x10^-4,2,0.5191,0.8074,0.707961627945087,0.5191,0.7480834126472473,0.6233518719673157,0.47699999809265137
1x10^-4,3,0.6503,0.8866,0.7028284081292832,0.6503,0.7901949286460876,0.681516170501709,0.6123999953269958
1x10^-4,4,0.5098,0.7865,0.7014630316773454,0.5098,0.7607677578926086,0.6377794146537781,0.47360000014305115
1x10^-4,5,0.6478,0.8969,0.708049714032194,0.6478,0.7907918691635132,0.6814854741096497,0.6085999608039856
1x10^-4,6,0.6142,0.877,0.6799494054202126,0.6142000000000001,0.7809569239616394,0.6649273037910461,0.57669997215271
1x10^-4,7,0.6241,0.8756,0.6927804824482945,0.6241,0.7863751649856567,0.6752654314041138,0.5880999565124512
1x10^-4,8,0.5599,0.851,0.6985342939084452,0.5599000000000001,0.7812322974205017,0.6634311079978943,0.5284000039100647
1x10^-4,9,0.5519,0.8243,0.6926478716531659,0.5519,0.7478249073028564,0.6210562586784363,0.5113999843597412
