BER_power,Iteration,Accuracy,Tacc,Precision,Recall,Confidence,Sub-Confidence,Acc_50
-6,0,0.7551,0.9473,0.7564719714681866,0.7550999999999999,0.8676672577857971,0.7846207618713379,0.7387999892234802
-6,1,0.7551,0.9473,0.7564719714681866,0.7550999999999999,0.8676672577857971,0.7846207618713379,0.7387999892234802
-8,0,0.7552,0.9471,0.7564147092710402,0.7552,0.8667731881141663,0.7834230661392212,0.7390999794006348
-5,0,0.6262,0.8851,0.6751124803491186,0.6262000000000001,0.8040407299995422,0.6937586069107056,0.5943999886512756
-5,1,0.7194,0.9341,0.7416522398110044,0.7194,0.8574389219284058,0.7685895562171936,0.6995999813079834
-5,2,0.6702,0.9041,0.7206892522142433,0.6702,0.8161319494247437,0.7150740623474121,0.6380000114440918
-5,3,0.7072,0.9283,0.7340519976333514,0.7072,0.8510351181030273,0.7613054513931274,0.6875
-5,4,0.721,0.9356,0.7341340890511043,0.721,0.8519971370697021,0.7625735402107239,0.6992999911308289
-5,5,0.6952,0.9223,0.722046082688224,0.6952000000000002,0.8454335331916809,0.7529603242874146,0.6721000075340271
-5,6,0.6903,0.9196,0.7291329577921087,0.6903,0.8414116501808167,0.7457526326179504,0.6678000092506409
-5,7,0.6832,0.9131,0.7212850335709847,0.6831999999999999,0.8352406620979309,0.738601565361023,0.6571999788284302
-5,8,0.6801,0.9005,0.7168755733400238,0.6801,0.8261595964431763,0.7282315492630005,0.6532999873161316
-5,9,0.7042,0.9232,0.7294861658711963,0.7041999999999999,0.8399489521980286,0.7454004883766174,0.6771999597549438
-4,0,0.129,0.3499,0.4468143488328515,0.12899999999999998,0.7403773665428162,0.5942913293838501,0.11509999632835388
-4,1,0.0755,0.2572,0.27315526651808414,0.07550000000000001,0.7678693532943726,0.6427180171012878,0.0648999959230423
