BER_power,Iteration,Accuracy,Tacc,Precision,Recall,Confidence,Sub-Confidence,Acc_50
1x10^-5,0,0.8104,0.966,0.8144612357590666,0.8104000000000001,0.8576028943061829,0.7825623750686646,0.7793999910354614
1x10^-5,1,0.8104,0.966,0.8144612357590666,0.8104000000000001,0.8576028943061829,0.7825623750686646,0.7793999910354614
1x10^-5,2,0.8104,0.966,0.8144612357590666,0.8104000000000001,0.8576028943061829,0.7825623750686646,0.7793999910354614
1x10^-5,3,0.8104,0.966,0.8144612357590666,0.8104000000000001,0.8576028943061829,0.7825623750686646,0.7793999910354614
1x10^-5,4,0.8104,0.966,0.8144612357590666,0.8104000000000001,0.8576028943061829,0.7825623750686646,0.7793999910354614
1x10^-5,5,0.8104,0.966,0.8144612357590666,0.8104000000000001,0.8576028943061829,0.7825623750686646,0.7793999910354614
1x10^-5,6,0.8104,0.966,0.8144612357590666,0.8104000000000001,0.8576028943061829,0.7825623750686646,0.7793999910354614
5x10^-5,0,0.7539,0.9465,0.7716487021481546,0.7539000000000001,0.8255824446678162,0.7381137013435364,0.7157999873161316
5x10^-5,1,0.8104,0.966,0.8144612357590666,0.8104000000000001,0.8576028943061829,0.7825623750686646,0.7793999910354614
5x10^-5,2,0.8104,0.966,0.8144612357590666,0.8104000000000001,0.8576028943061829,0.7825623750686646,0.7793999910354614
5x10^-5,3,0.5652,0.8304,0.7258143030173487,0.5651999999999999,0.7082464694976807,0.5952659845352173,0.5011999607086182
5x10^-5,4,0.8104,0.966,0.8144612357590666,0.8104000000000001,0.8576028943061829,0.7825623750686646,0.7793999910354614
5x10^-5,5,0.8104,0.966,0.8144612357590666,0.8104000000000001,0.8576028943061829,0.7825623750686646,0.7793999910354614
5x10^-5,6,0.7851,0.9589,0.7967259695547422,0.7851,0.8386339545249939,0.7571223974227905,0.7484999895095825
1x10^-4,0,0.7493,0.9433,0.7725363587337435,0.7493000000000001,0.8014299273490906,0.7087209224700928,0.7003999948501587
1x10^-4,1,0.6215,0.8675,0.7122583086933448,0.6215,0.6904316544532776,0.5787988901138306,0.5345999598503113
1x10^-4,2,0.7266,0.9284,0.7607355070851378,0.7266,0.7734556794166565,0.6752302050590515,0.6663999557495117
1x10^-4,3,0.7537,0.9443,0.7746384565157663,0.7537,0.815767228603363,0.7255062460899353,0.7116000056266785
1x10^-4,4,0.717,0.9285,0.7548034403772783,0.7169999999999999,0.7735869884490967,0.676598310470581,0.6589999794960022
1x10^-4,5,0.7399,0.9401,0.7648087531436653,0.7399000000000001,0.7995561361312866,0.7064011096954346,0.6929999589920044
1x10^-4,6,0.7151,0.9317,0.7468728011843467,0.7151,0.7864830493927002,0.6908427476882935,0.6640999913215637
5x10^-4,0,0.2421,0.4874,0.5796814083612015,0.2421,0.42695343494415283,0.29288536310195923,0.14319999516010284
5x10^-4,1,0.2189,0.4821,0.5919255630707768,0.2189,0.5530622601509094,0.4035501480102539,0.15399999916553497
5x10^-4,2,0.1588,0.3725,0.4178424566597492,0.1588,0.3403817117214203,0.2209654152393341,0.0754999965429306
5x10^-4,3,0.2541,0.5272,0.5398905788904134,0.2541,0.45018842816352844,0.31494051218032837,0.15299999713897705
5x10^-4,4,0.1231,0.3628,0.4808726269161713,0.12309999999999999,0.45137012004852295,0.2992631196975708,0.06509999930858612
5x10^-4,5,0.1315,0.346,0.46011138640844823,0.1315,0.4423685669898987,0.30693286657333374,0.07530000060796738
5x10^-4,6,0.2622,0.5389,0.5846761313994764,0.2622,0.49402916431427,0.3471924364566803,0.17889998853206635
